index,Age,Prime mensuelle,Categorie socio professionnelle,Kilometres parcourus par mois,Coefficient bonus malus,Type de vehicule,Score CRM,Niveau de vie,Marque,Salaire annuel,Score credit,Cout entretien annuel,Benefice net annuel
1275,19.0,5.0,Cadre,956,85,5 portes,112,7497,Peugeot,52290,963,893,2.10717164551
1276,45.0,10.0,Travailleur non salarie,513,86,SUV,129,2642,Opel,15380,416,806,30.9466889189
1277,48.0,12.0,Cadre,871,97,5 portes,141,3280,Volkswagen,27440,595,767,14.5868535494
1278,21.0,7.0,Cadre,476,114,3 portes,134,4923,Citroen,30580,887,791,-7.39462789328
1279,30.0,20.0,Etudiant,312,87,5 portes,112,9631,Citroen,66350,9,709,4.63999798513
1280,27.0,6.0,Etudiant,789,120,5 portes,145,3859,Opel,22830,447,665,15.3037617436
1281,18.0,13.0,Etudiant,571,87,5 portes,116,4904,Peugeot,30260,666,821,10.0892521375
1282,35.0,9.0,Sans emploi,227,103,SUV,146,2660,Volkswagen,17430,484,763,23.968424462
1283,0.0,18.0,Cadre,582,100,3 portes,153,6528,Opel,44000,187,969,-20.4337216797
1284,38.0,10.0,Cadre,400,124,SUV,154,2071,Renault,20590,797,828,26.9838655539
1285,42.0,5.0,Cadre,541,86,Utilitaire,131,5512,,43310,397,823,43.6575333205
1286,28.0,5.0,Etudiant,466,88,3 portes,127,2650,Peugeot,22070,64,942,-0.202833250867
1287,22.0,32.0,Etudiant,771,97,SUV,122,3504,Peugeot,25750,574,940,36.9791008685
1288,35.0,13.0,Etudiant,288,112,SUV,154,7710,Peugeot,50710,613,823,20.8244327479
1289,27.0,38.0,Etudiant,636,111,SUV,140,3662,Toyota,31880,30,825,33.8821775082
1290,18.0,10.0,Cadre,500,82,5 portes,100,2932,Peugeot,21650,79,857,7.00417152959
1291,27.0,10.0,Ouvrier,563,89,3 portes,114,2226,Citroen,20210,892,689,-8.57898127415
1292,29.0,13.0,Etudiant,719,82,5 portes,113,1329,Peugeot,14760,534,743,15.3079252665
1293,34.0,7.0,Etudiant,604,126,SUV,163,4585,Peugeot,26930,800,730,36.3261942089
1294,32.0,56.0,Cadre,638,107,Utilitaire,146,4024,Renault,27830,956,718,51.3078104007
1295,64.0,22.0,Sans emploi,768,110,5 portes,166,1874,Opel,7400,83,825,28.3330399894
1296,29.0,22.0,Etudiant,498,69,5 portes,89,1207,Toyota,4310,228,703,13.5386053058
1297,20.0,14.0,Cadre,784,104,SUV,120,977,Citroen,10070,902,702,35.733835574
1298,33.0,8.0,Etudiant,748,97,Utilitaire,131,3695,Opel,32360,271,771,62.0581861706
1299,,4.0,Travailleur non salarie,454,115,5 portes,144,7973,Toyota,48570,495,789,7.12631123324
