ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6
6379,120000,1,1,2,34,1,2,2,-1,-1,-1
6380,70000,2,2,1,27,2,2,2,0,0,2
6381,150000,1,2,1,32,0,0,0,0,0,0
6382,210000,2,2,1,42,1,-2,-2,-1,0,0
6383,80000,2,2,1,30,1,2,0,0,0,0
6384,90000,1,2,2,29,0,0,0,0,0,0
6385,20000,2,2,2,22,0,0,0,0,0,0
6386,240000,2,1,2,36,1,-1,0,0,0,0
6387,50000,1,2,2,29,2,2,0,0,2,2
6388,250000,2,1,2,28,0,0,0,0,0,0
6389,280000,2,1,2,31,1,-2,-2,-2,-1,-1
6390,10000,1,3,0,40,0,0,0,0,0,-2
6391,150000,2,2,2,33,-1,0,0,0,0,0
6392,330000,2,2,1,47,1,-2,-2,-1,-1,-1
6393,240000,1,1,2,30,-1,-1,-1,-1,-1,0
6394,130000,2,2,2,34,0,0,-2,-2,-1,-1
6395,450000,1,1,2,37,0,0,0,0,0,0
6396,50000,1,1,2,26,-1,-1,-1,-1,2,2
6397,70000,2,3,1,24,0,0,0,0,0,0
6398,80000,1,2,2,26,0,0,0,0,0,0
6399,50000,1,1,2,24,-1,-1,-1,-1,-1,-1
6400,30000,1,3,1,33,2,0,0,0,0,0
6401,50000,1,2,2,23,0,0,0,0,0,0
6402,70000,1,2,1,29,0,0,0,0,0,0
6403,50000,2,2,2,33,0,0,0,0,0,0
6404,100000,2,3,2,27,0,0,0,0,0,2
6405,200000,2,2,2,24,0,0,0,0,0,0
6406,180000,1,1,2,38,1,-2,-2,-2,-2,-2
6407,240000,2,1,2,38,-1,-1,-1,-1,-1,-1
6408,90000,2,3,1,35,2,2,2,0,0,0
6409,50000,2,2,2,33,0,0,0,0,0,0
6410,80000,1,2,2,48,0,0,0,0,0,0
6411,210000,2,1,1,43,-2,-1,-1,-1,-2,-2
6412,350000,1,3,1,41,0,0,0,0,0,0
6413,160000,1,2,2,45,0,0,0,0,0,0
6414,70000,1,1,2,33,0,0,0,0,0,0
6415,140000,2,1,1,33,1,-1,-1,-2,-2,-2
6416,80000,1,2,1,47,0,0,0,0,0,0
6417,110000,2,2,1,39,2,2,0,0,2,2
6418,50000,1,2,2,25,0,0,-1,0,0,-2
6419,30000,1,1,1,38,0,0,2,0,0,0
6420,30000,2,2,2,27,0,0,2,0,0,0
6421,200000,1,2,2,33,0,0,0,0,0,2
6422,290000,2,2,2,28,0,0,0,0,0,0
6423,220000,1,1,2,34,0,0,0,0,0,0
6424,180000,1,1,2,28,0,0,0,0,0,-1
6425,500000,1,3,1,38,0,0,0,0,0,0
6426,210000,1,2,1,39,-1,-1,-2,-2,-2,-2
6427,100000,2,1,2,24,3,2,2,2,0,0
6428,100000,2,2,2,23,0,0,0,0,0,0
6429,130000,2,2,2,25,2,2,0,0,0,0
6430,10000,1,2,2,21,0,0,0,0,0,0
6431,50000,1,2,2,35,-1,-1,-1,-1,-1,0
6432,240000,1,1,1,37,0,0,0,0,0,0
6433,20000,2,3,1,53,0,0,0,-2,-2,-2
6434,20000,2,1,1,38,-1,-1,-1,-2,-1,-1
6435,150000,2,1,2,39,3,2,2,-1,-1,-2
6436,230000,1,2,1,36,-1,-1,2,2,2,0
6437,50000,1,2,2,26,-1,0,0,0,0,0
6438,300000,2,2,1,35,0,0,0,-1,-1,-1
6439,110000,2,2,3,54,-1,-1,-1,-1,-1,2
6440,230000,2,1,2,33,-2,-2,-2,-2,-2,-2
6441,50000,2,2,2,30,1,-1,0,0,0,0
6442,70000,2,2,2,24,0,0,0,0,0,0
6443,360000,2,1,1,27,-2,-2,-2,-2,-2,-2
6444,110000,2,2,2,32,0,0,0,0,0,0
6445,120000,2,2,2,48,0,0,0,0,0,-1
6446,200000,2,1,1,45,-1,-1,-1,-1,-2,-1
6447,260000,2,5,1,46,-1,-1,-1,-1,-1,-2
6448,290000,2,1,1,47,-1,-1,-1,-1,-1,-1
6449,20000,2,2,2,22,0,0,0,0,0,0
6450,50000,2,3,2,22,0,0,0,0,0,0
6451,50000,2,2,1,23,0,0,0,0,0,0
6452,60000,2,1,2,23,0,0,0,0,0,-1
6453,330000,1,1,1,46,-1,-1,-1,-1,0,0
6454,60000,2,2,1,23,0,0,0,2,2,0
6455,180000,2,2,1,25,0,0,0,0,0,0
6456,80000,2,1,2,28,1,2,2,2,2,2
6457,450000,2,1,2,32,1,-1,0,0,-2,-1
6458,150000,2,4,1,36,-2,-2,-2,-2,-2,-2
6459,280000,2,2,2,28,1,-2,-1,0,0,-1
6460,180000,1,3,2,47,0,0,0,0,2,0
6461,380000,2,3,1,54,-1,-1,0,0,-1,-1
6462,150000,1,2,1,45,-2,-2,-2,-2,-2,-2
6463,280000,2,1,2,52,-1,-1,-1,-1,-2,-2
6464,160000,2,2,2,34,-1,-1,-1,-1,-1,-1
6465,120000,1,2,2,29,0,0,0,0,0,0
6466,330000,2,1,2,34,0,0,0,0,0,0
6467,210000,2,2,1,49,1,-2,-2,-2,-2,-2
6468,200000,1,1,2,27,1,-1,-1,-1,-1,-1
6469,340000,2,5,1,27,0,0,0,0,0,0
6470,200000,1,1,2,34,-1,-1,-1,-1,-1,-2
6471,160000,2,3,1,34,0,0,2,2,-2,-2
6472,500000,2,2,2,48,-1,-1,-1,-1,-1,-1
6473,50000,1,2,1,43,0,0,0,0,0,0
6474,170000,2,2,2,23,-1,0,0,0,0,0
6475,260000,2,1,2,29,1,2,0,0,0,0
6476,360000,1,2,1,49,1,-2,-2,-2,-2,-2
6477,400000,1,1,2,29,0,0,0,-1,-1,2
6478,380000,2,1,2,32,-1,0,0,0,0,0
6479,50000,1,3,2,29,0,0,2,0,0,-1
6480,130000,1,2,1,40,-1,-1,-1,-1,-1,-1
6481,110000,2,2,1,24,1,-1,0,0,0,0
6482,50000,1,1,1,23,1,-2,-2,-2,-2,-2
6483,190000,1,2,2,26,0,0,0,0,0,0
6484,170000,2,2,1,46,-1,-1,-1,-2,-1,-1
6485,210000,2,4,2,25,0,0,0,0,-2,-2
6486,50000,1,3,2,25,0,0,0,0,2,2
6487,20000,2,3,1,45,2,0,0,0,0,0
6488,80000,2,2,1,26,0,0,0,0,0,-2
6489,500000,2,1,2,39,-1,0,0,0,-2,-2
6490,250000,2,2,2,31,1,2,0,0,0,0
6491,50000,1,3,1,34,0,0,0,0,0,0
6492,300000,1,2,1,38,0,0,0,2,2,2
6493,30000,2,2,1,40,2,2,3,3,2,2
6494,50000,1,2,2,34,2,2,0,0,0,-1
6495,180000,2,2,2,35,-2,-2,-2,-2,-2,-2
6496,50000,2,5,1,28,0,0,0,0,0,-2
6497,50000,1,3,1,46,0,0,0,0,0,0
6498,190000,2,2,1,40,0,0,2,0,0,0
6499,200000,2,2,2,32,-2,-2,-2,-1,0,0
6500,140000,2,2,2,26,0,0,0,0,2,0
6501,10000,1,3,1,47,0,0,2,0,0,2
6502,180000,2,5,1,54,0,0,0,0,0,0
6503,170000,2,3,2,29,-1,-1,-1,-2,-2,-2
6504,50000,1,2,1,36,1,-2,-2,-2,-2,-1
6505,200000,1,2,2,32,-1,-1,-1,-1,-1,-1
6506,170000,2,2,1,42,-1,-1,-1,-1,-1,-1
6507,50000,1,2,2,52,1,2,0,0,0,2
6508,230000,2,2,2,24,-1,-1,-2,-1,0,-1
6509,500000,2,2,2,36,0,0,0,0,-2,-1
6510,50000,1,2,2,25,2,2,3,3,3,3
6511,80000,1,1,2,38,0,0,0,0,0,0
6512,200000,2,2,1,61,-1,-1,-1,-1,-1,-1
6513,360000,1,3,2,34,1,-2,-2,-2,-2,-2
6514,140000,2,1,1,41,-1,2,-1,-1,0,-1
6515,290000,2,2,1,48,1,2,0,0,0,0
6516,50000,1,2,1,41,0,0,0,0,0,0
6517,10000,2,2,3,38,0,0,0,-1,0,0
6518,80000,1,2,2,27,2,-1,-1,0,0,0
6519,20000,1,3,2,22,0,0,0,0,0,0
6520,150000,1,1,2,37,-2,-2,-2,-2,-2,-2
6521,230000,2,1,2,37,0,0,2,0,0,-2
6522,60000,2,3,2,24,0,0,0,0,0,0
6523,360000,2,1,2,26,-1,-1,-1,-1,0,-1
6524,100000,1,2,1,36,0,0,0,0,0,0
6525,30000,1,2,1,33,0,0,0,0,0,0
6526,330000,2,2,1,30,0,0,0,0,0,-1
6527,20000,2,1,2,24,-1,2,-1,0,0,-1
6528,80000,2,2,1,49,1,2,2,2,2,2
6529,90000,2,5,2,23,0,0,0,0,0,0
6530,20000,2,2,2,23,0,0,0,0,0,0
6531,230000,1,3,1,61,1,-2,-2,-2,-2,-2
6532,160000,1,2,2,28,-1,2,-1,-1,-2,-1
6533,200000,2,2,1,36,-1,-1,-1,-1,-1,-1
6534,20000,1,2,2,27,0,-1,0,-1,-1,-2
6535,170000,1,1,1,35,0,0,0,0,0,0
6536,180000,2,2,1,26,0,0,0,0,0,0
6537,50000,2,2,1,29,0,0,0,0,0,0
6538,360000,2,1,1,40,-1,-1,-1,-1,0,-1
6539,230000,2,2,2,28,-1,-1,-1,-2,-1,-1
6540,80000,2,1,2,28,0,0,2,2,2,2
6541,60000,1,1,2,31,2,2,2,2,2,2
6542,150000,2,3,1,52,-1,-1,-1,-1,-1,-1
6543,120000,2,3,1,52,0,0,0,0,0,0
6544,430000,2,1,1,43,-1,-1,-1,-1,-1,-1
6545,360000,1,3,1,32,0,0,0,0,0,0
6546,200000,2,2,1,60,-1,-1,-1,-1,-1,-1
6547,50000,1,2,2,26,0,0,0,0,0,2
6548,150000,2,2,1,36,0,0,0,0,-1,-1
6549,20000,2,1,2,46,0,0,0,0,0,0
6550,20000,1,1,2,23,0,0,0,0,0,0
6551,50000,1,2,2,24,1,3,2,0,-1,-1
6552,260000,2,2,2,27,0,0,0,0,0,-1
6553,230000,2,3,2,30,0,0,0,0,0,0
6554,170000,1,3,1,43,-1,-1,-1,-1,-2,-2
6555,180000,1,1,2,28,-2,-2,-2,-2,-2,-1
6556,30000,1,1,2,38,1,2,0,0,0,2
6557,20000,1,2,2,22,3,2,2,3,2,2
6558,260000,1,3,1,50,2,0,-1,0,-1,-1
6559,180000,2,3,2,30,-1,-1,-1,-1,-1,-2
6560,230000,2,2,1,32,0,0,0,0,0,0
6561,120000,2,2,3,43,0,0,0,0,0,0
6562,280000,1,1,1,63,-2,-2,-2,-2,-2,-2
6563,270000,2,2,2,29,0,0,0,0,0,0
6564,70000,1,1,1,39,0,0,0,0,0,0
6565,60000,1,2,2,31,0,0,0,0,0,2
6566,180000,1,2,2,28,0,0,0,0,0,0
6567,160000,2,2,1,32,0,0,0,0,0,2
6568,50000,2,1,2,25,0,0,-1,-1,-2,-2
6569,60000,2,2,2,48,-2,-2,-2,-1,0,0
6570,50000,1,2,2,48,3,2,0,0,0,0
6571,80000,2,2,1,56,1,-1,-1,-1,-1,-1
6572,30000,2,2,1,22,0,0,0,0,0,0
6573,90000,2,1,2,26,0,0,0,0,0,0
6574,130000,2,2,1,33,0,-1,0,0,-1,-1
6575,200000,1,1,1,38,-2,-2,-2,-2,-2,-2
6576,20000,2,2,2,23,0,0,0,0,2,2
6577,300000,1,3,1,31,-1,-1,-1,-1,-1,-1
6578,160000,2,1,1,41,0,0,0,0,0,0
6579,500000,2,1,1,41,-1,-1,-2,-2,-1,-1
6580,50000,2,2,2,25,2,2,2,0,0,0
6581,20000,1,1,2,25,0,0,0,0,0,0
6582,240000,1,3,1,40,2,3,3,2,2,2
6583,200000,1,2,2,29,2,2,2,2,2,2
6584,200000,2,2,2,27,-1,-1,2,0,0,-1
6585,260000,2,1,2,36,-1,-1,-1,-1,-1,-1
6586,100000,1,2,2,26,2,2,2,2,-2,-2
6587,360000,1,3,1,42,-1,-1,-1,0,-1,-1
6588,280000,2,6,3,38,0,0,0,-1,-1,-1
6589,360000,1,1,1,47,0,-1,0,0,0,-1
6590,420000,2,1,1,34,-1,0,0,-1,0,-1
6591,400000,2,2,1,42,-2,-2,-1,0,0,0
6592,50000,2,2,1,41,2,0,0,0,-1,0
6593,500000,1,1,1,45,-2,-2,-2,-2,-2,-2
6594,50000,1,2,2,56,0,0,0,0,0,0
6595,80000,2,1,2,24,-1,2,-1,-1,-1,-1
6596,80000,2,2,2,23,2,3,2,2,0,0
6597,20000,2,2,2,50,0,0,0,0,0,0
6598,460000,2,1,2,27,0,0,0,0,0,0
6599,240000,1,1,2,33,0,0,0,0,-2,-2
6600,120000,1,2,2,30,0,0,0,0,0,0
6601,20000,1,2,2,24,1,3,2,2,3,2
6602,290000,1,3,1,50,0,0,0,0,-1,0
6603,50000,2,2,2,38,0,0,0,0,0,0
6604,200000,2,2,1,40,0,0,0,0,0,0
6605,20000,2,3,3,27,0,0,2,2,-1,-1
6606,100000,1,1,1,43,0,0,0,0,0,0
6607,260000,2,1,2,36,0,0,0,0,0,0
6608,20000,2,2,2,27,4,3,2,0,0,0
6609,10000,2,2,2,22,0,0,0,0,0,2
6610,420000,1,1,1,47,-2,-2,-2,-2,-2,-2
6611,130000,2,3,2,27,0,0,0,0,0,0
6612,150000,2,1,2,25,0,0,0,0,0,0
6613,120000,1,1,2,33,-1,-1,-1,-1,-1,-1
6614,30000,2,2,2,25,0,0,0,0,0,0
6615,260000,2,2,2,31,0,0,0,0,0,0
6616,60000,1,3,2,34,-1,-1,-1,-1,-1,-1
6617,70000,2,3,2,52,0,0,0,0,0,0
6618,110000,1,2,2,26,2,0,0,0,0,2
6619,180000,1,2,2,37,-1,-1,0,0,0,-1
6620,300000,2,2,2,48,-2,-2,-2,-2,-2,-2
6621,260000,2,1,1,38,-2,-1,-1,-2,-2,-2
6622,50000,2,2,1,41,2,2,2,0,0,0
6623,90000,2,3,1,45,0,0,0,0,0,0
6624,20000,2,2,2,24,1,2,0,0,2,0
6625,220000,2,1,2,30,-1,-1,-1,-1,-1,2
6626,240000,1,1,2,27,0,0,0,0,-1,2
6627,440000,2,2,2,40,0,0,0,0,0,0
6628,60000,2,2,1,37,5,4,4,3,2,2
6629,380000,1,2,1,31,-1,-1,-1,-1,-1,-1
6630,30000,2,3,1,44,2,2,2,2,2,2
6631,120000,2,2,2,35,0,0,0,0,0,0
6632,150000,1,1,2,29,-2,-2,-2,-2,-2,-2
6633,90000,1,2,2,28,0,0,0,0,0,2
6634,180000,2,2,1,34,0,0,-2,-1,0,0
6635,10000,2,2,2,37,-1,0,0,0,0,-1
6636,20000,1,2,2,24,2,2,0,0,2,0
6637,80000,2,3,1,41,2,2,2,2,2,2
6638,610000,1,2,1,30,0,0,0,0,0,0
6639,180000,2,3,2,27,1,-2,-2,-1,-1,-2
6640,50000,1,3,1,53,1,-1,-1,0,0,-1
6641,130000,1,1,2,30,0,0,0,0,0,0
6642,160000,1,1,2,26,0,0,0,-1,-1,-1
6643,200000,1,1,2,29,0,0,0,2,2,2
6644,20000,1,1,2,29,0,0,2,0,0,0
6645,50000,2,2,2,56,0,0,0,0,0,0
6646,30000,2,2,1,46,1,2,2,2,2,2
6647,140000,1,2,1,29,0,0,0,0,0,0
6648,160000,1,2,1,45,1,2,2,2,2,2
6649,410000,1,1,1,33,-1,-1,-1,-2,-1,-1
6650,320000,2,1,2,30,0,0,-1,-1,-1,-1
6651,50000,2,2,1,36,0,0,0,0,0,0
6652,110000,1,2,2,29,0,0,0,0,0,0
6653,530000,2,3,1,50,0,0,0,0,0,0
6654,80000,2,2,2,40,0,0,0,0,0,0
6655,190000,2,1,2,26,2,0,0,0,0,0
6656,500000,1,2,1,58,-1,-1,-1,-1,-1,-1
6657,270000,2,3,2,30,1,-1,-1,-1,-1,-1
6658,20000,2,2,2,26,2,2,0,0,0,0
6659,90000,1,2,1,39,0,0,0,0,2,2
6660,10000,1,2,2,44,1,2,2,0,0,0
6661,320000,2,2,1,36,0,0,0,0,0,0
6662,190000,2,1,1,33,0,0,-1,-1,-1,-1
6663,380000,1,1,1,39,-1,-1,-2,-1,-1,-2
6664,180000,1,2,2,30,0,0,0,0,0,0
6665,360000,2,1,2,33,-1,-1,-1,-2,-2,-2
6666,150000,1,2,1,30,1,2,-1,-1,0,0
6667,50000,2,1,1,57,1,2,0,0,0,2
6668,50000,1,2,2,39,1,2,2,2,2,2
6669,50000,1,3,1,51,0,0,0,0,0,0
6670,340000,2,2,2,30,0,0,0,0,-1,-1
6671,320000,1,1,2,26,-1,0,0,0,0,-2
6672,230000,2,1,2,42,-1,-1,-1,-1,-1,2
6673,120000,2,1,2,31,-1,-1,-1,-1,-1,-1
6674,30000,1,1,2,34,1,2,2,2,2,0
6675,240000,1,1,2,34,-1,-1,-1,-1,-1,-1
6676,240000,2,2,1,32,1,-2,-1,-1,-1,-1
6677,210000,1,1,2,30,0,0,2,0,0,0
6678,20000,1,3,2,24,1,2,0,0,0,0
6679,20000,2,2,1,42,0,0,0,0,0,0
6680,110000,2,1,2,25,1,2,-1,-1,0,0
6681,130000,1,2,1,39,0,0,0,0,0,0
6682,80000,2,2,1,28,0,0,0,0,0,0
6683,20000,1,2,1,36,1,2,0,0,0,0
6684,10000,1,1,1,38,-1,-1,2,0,0,2
6685,180000,1,2,1,37,-1,-1,-1,-1,-1,-1
6686,280000,2,2,2,29,0,0,0,0,0,0
6687,220000,1,1,2,29,2,2,2,2,2,2
6688,260000,1,2,1,42,3,3,2,2,0,0
6689,30000,1,2,1,40,1,2,0,0,-1,-1
6690,50000,2,2,1,29,-2,-2,-1,-1,-1,-1
6691,150000,2,3,2,47,0,0,0,0,0,0
6692,160000,1,3,2,38,0,0,0,0,0,0
6693,20000,1,2,2,26,1,-1,-1,0,0,0
6694,280000,1,1,1,42,0,-1,-1,0,0,0
6695,50000,1,2,2,24,0,0,0,0,0,0
6696,300000,2,1,2,43,1,-2,-2,-1,-1,-2
6697,230000,1,2,1,31,0,0,2,0,-1,-1
6698,60000,1,3,2,27,0,0,0,0,0,0
6699,190000,1,3,1,29,-2,-2,-2,-2,-2,-2
6700,60000,1,2,2,43,1,-2,-1,-1,-2,-2
6701,100000,2,2,2,25,2,0,0,0,0,0
6702,30000,2,2,1,45,0,0,0,0,0,0
6703,200000,2,2,2,30,6,5,4,3,2,0
6704,30000,1,1,3,27,0,0,0,0,0,0
6705,130000,1,2,2,25,0,0,0,0,-1,0
6706,120000,1,2,2,29,0,0,0,0,0,0
6707,160000,2,2,2,35,1,-2,-2,-1,-1,-2
6708,20000,2,2,2,23,0,0,0,0,0,-1
6709,30000,2,2,2,24,2,2,2,0,0,0
6710,70000,2,2,2,23,0,0,0,0,0,0
6711,80000,1,3,2,25,0,0,0,-1,0,0
6712,80000,2,2,2,23,0,0,0,-1,-1,0
6713,100000,1,2,2,50,0,0,0,0,0,0
6714,570000,1,1,2,31,0,0,0,0,0,-1
6715,170000,1,1,1,45,2,-1,-1,-1,-1,-1
6716,50000,2,2,2,25,1,-1,-1,-1,-1,-1
6717,310000,2,1,2,39,0,0,0,0,0,0
6718,140000,1,1,2,27,0,0,0,2,0,0
6719,200000,2,2,2,29,0,0,2,0,0,0
6720,300000,2,2,2,26,0,-1,-1,-1,0,0
6721,300000,2,1,2,26,0,0,0,0,0,0
6722,140000,1,2,2,55,0,0,0,0,0,0
6723,560000,1,1,1,47,-1,-1,-1,-1,-1,-1
6724,200000,1,1,1,46,1,2,2,2,2,2
6725,230000,2,3,1,31,0,0,0,0,0,0
6726,200000,1,1,1,36,0,0,2,2,2,0
6727,160000,1,2,2,34,2,2,2,2,2,2
6728,220000,1,1,2,29,0,0,0,0,0,0
6729,60000,1,3,2,25,0,0,0,0,0,0
6730,390000,2,2,1,43,2,2,2,0,0,0
6731,280000,2,1,2,39,-2,-2,-2,-2,-2,-2
6732,80000,1,1,1,60,0,0,0,0,-2,-2
6733,360000,1,2,1,34,0,0,0,0,0,0
6734,20000,2,2,2,21,0,0,0,0,0,0
6735,500000,2,2,1,31,-1,-1,-1,0,0,0
6736,90000,2,1,2,23,-1,-1,-1,0,0,0
6737,30000,2,1,1,33,0,0,0,0,0,0
6738,390000,1,1,2,47,1,-1,-1,-2,-1,-1
6739,360000,1,1,1,32,1,-2,-2,-2,-2,-2
6740,10000,2,2,2,32,0,0,0,0,0,0
6741,150000,2,1,1,32,1,-2,-2,-2,-2,-2
6742,40000,2,2,2,27,0,0,0,0,0,0
6743,210000,2,5,2,29,0,0,0,0,0,0
6744,50000,2,2,1,41,0,0,0,0,0,0
6745,10000,1,2,2,23,0,0,2,0,0,2
6746,310000,2,2,2,26,0,0,0,0,0,0
6747,50000,1,1,2,34,0,0,0,0,0,-2
6748,150000,2,1,1,37,-1,-1,-1,0,0,-1
6749,50000,1,3,1,48,0,0,0,0,0,0
6750,250000,2,1,2,30,0,0,2,0,0,2
6751,30000,2,3,1,46,2,2,2,2,3,2
6752,30000,1,1,1,32,0,0,0,0,0,0
6753,30000,2,3,1,50,2,2,2,2,2,2
6754,20000,2,2,1,44,8,7,6,5,4,3
6755,30000,2,1,2,24,0,0,0,0,0,0
6756,300000,1,1,1,45,-1,-1,-1,-1,-1,-1
6757,90000,1,2,1,28,0,0,-2,-2,-2,-2
6758,30000,1,2,2,24,0,0,0,-1,-1,2
6759,200000,2,2,1,51,0,0,0,0,0,2
6760,180000,2,2,2,29,0,0,0,2,2,0
6761,70000,2,2,2,26,0,0,0,0,0,-1
6762,230000,2,2,2,29,-2,-2,-2,-2,-1,2
6763,240000,2,1,1,45,1,-2,-2,-2,-2,-2
6764,190000,2,3,1,41,-1,-1,-1,-1,-1,-1
6765,80000,2,1,1,29,-2,-2,-2,-2,-2,-2
6766,300000,2,2,1,34,0,0,0,0,0,0
6767,220000,2,1,1,36,0,0,0,0,0,0
6768,340000,1,2,1,31,0,0,0,0,0,0
6769,480000,2,1,2,57,-1,-1,-2,-1,-1,-1
6770,60000,2,1,1,25,0,0,0,0,0,0
6771,200000,1,2,1,28,-1,0,0,0,0,0
6772,20000,1,2,1,53,0,0,2,2,-2,-1
6773,110000,2,3,2,46,0,0,0,0,0,0
6774,470000,2,2,2,32,0,0,0,0,0,0
6775,200000,1,2,1,42,-1,-1,-1,-1,-2,-2
6776,130000,1,1,2,30,0,0,0,0,0,0
6777,80000,1,1,1,46,0,0,0,0,0,0
6778,120000,2,2,1,30,1,-2,-2,-2,-2,-2
6779,180000,1,1,2,27,0,0,0,0,0,0
6780,400000,1,2,1,42,0,0,0,0,0,0
6781,150000,1,3,1,43,0,0,0,0,0,0
6782,640000,2,3,2,34,0,0,0,0,0,-1
6783,500000,1,1,1,32,1,1,1,1,0,0
6784,70000,2,1,2,26,1,2,2,2,2,2
6785,100000,2,1,2,24,-1,3,2,-1,-1,-1
6786,80000,2,3,1,42,-2,-2,-2,-2,-2,-2
6787,120000,2,2,1,30,0,0,0,0,0,0
6788,210000,2,1,2,31,0,0,0,0,0,0
6789,50000,2,1,2,25,-1,-1,2,-1,-1,-2
6790,50000,2,2,1,45,0,0,0,0,0,0
6791,260000,1,2,1,35,-2,-1,-1,-1,-2,-2
6792,20000,1,2,2,22,1,-2,-2,-1,0,0
6793,30000,1,2,1,40,2,2,0,0,0,0
6794,310000,2,2,1,29,0,0,0,0,0,0
6795,100000,1,1,2,34,-1,-1,-1,-1,0,0
6796,300000,2,1,1,38,-2,-2,-2,-2,-2,-2
6797,30000,1,3,1,47,0,0,2,0,0,-2
6798,320000,1,2,2,34,0,0,0,0,0,0
6799,120000,2,1,2,32,0,0,0,0,0,0
6800,80000,1,2,2,24,0,0,0,0,0,2
6801,20000,1,3,1,50,2,2,2,0,0,0
6802,380000,1,1,1,53,-2,-2,-2,-2,-2,-2
6803,180000,2,1,2,30,0,0,0,0,0,0
6804,50000,1,2,2,27,0,0,0,-2,-2,-2
6805,280000,1,1,2,33,-2,-2,-2,-2,-2,-2
6806,30000,2,3,2,47,0,0,0,0,0,0
6807,100000,1,2,2,25,2,0,0,-2,-2,-1
6808,30000,1,1,2,45,0,0,0,0,-1,2
6809,160000,2,2,2,30,0,0,0,0,0,0
6810,210000,1,1,1,42,-1,-1,-1,-1,-1,-1
6811,10000,1,1,2,30,0,0,0,0,0,0
6812,420000,2,2,2,36,-1,-1,-1,0,-1,-1
6813,400000,2,1,1,37,-2,-1,0,0,0,0
6814,70000,2,1,2,29,0,0,0,0,0,0
6815,110000,1,2,2,31,0,0,0,0,0,0
6816,300000,1,1,1,54,0,0,-2,-2,-2,-2
6817,120000,2,1,2,27,-1,0,0,0,0,0
6818,180000,1,1,2,27,0,0,0,0,0,0
6819,400000,1,1,1,46,0,0,0,0,0,0
6820,100000,1,1,1,44,0,0,0,0,0,0
6821,220000,2,2,1,32,-2,-2,-2,-2,-2,-1
6822,220000,2,2,1,43,-1,-1,-1,-1,-1,-1
6823,140000,2,2,1,27,0,0,0,0,0,0
6824,90000,2,2,1,51,0,0,0,0,0,0
6825,30000,2,1,2,23,0,0,0,0,0,0
6826,240000,2,1,2,28,0,0,-1,-1,-1,-2
6827,110000,2,1,1,37,0,0,2,2,0,0
6828,60000,2,1,2,24,2,2,2,2,2,3
6829,20000,1,2,2,26,1,5,4,3,2,0
6830,180000,1,2,1,53,0,0,0,0,0,0
6831,130000,2,2,2,26,0,0,0,0,0,0
6832,130000,2,3,1,36,0,0,0,0,0,0
6833,70000,1,1,2,26,2,0,0,0,0,0
6834,10000,1,2,1,42,-1,2,0,0,2,2
6835,50000,2,1,2,24,-2,-2,-2,-2,-2,-2
6836,190000,2,1,1,31,-1,3,2,-1,-1,-1
6837,60000,1,2,2,36,0,0,0,0,0,0
6838,20000,1,1,2,25,1,2,2,0,0,0
6839,80000,2,2,2,42,2,2,2,2,2,2
6840,500000,2,1,1,51,-1,-1,-1,0,0,0
6841,220000,1,3,1,52,1,-2,-2,-2,-2,-2
6842,230000,2,2,1,36,-2,-2,-2,-2,-2,-2
6843,20000,1,2,2,25,2,2,2,2,2,0
6844,50000,1,2,2,39,0,0,0,0,-1,-1
6845,120000,2,1,2,29,0,0,0,0,0,0
6846,130000,2,2,2,34,0,0,0,0,2,0
6847,230000,2,1,2,26,2,-1,-1,-1,-1,0
6848,350000,1,1,2,32,0,0,0,0,0,0
6849,300000,2,1,2,38,-2,-2,-2,-2,-2,-2
6850,70000,2,2,2,55,0,0,0,0,0,0
6851,280000,1,1,2,33,0,0,0,0,0,0
6852,60000,2,2,1,25,0,0,0,0,0,0
6853,310000,1,2,2,42,0,0,0,0,0,0
6854,290000,1,3,2,34,0,0,0,0,0,0
6855,180000,1,1,1,35,1,2,2,2,2,2
6856,340000,2,1,2,43,1,-2,-2,-2,-2,-2
6857,360000,2,1,2,29,-2,-2,-2,-2,-2,-2
6858,180000,2,1,1,33,-1,0,0,0,0,0
6859,30000,2,3,1,48,0,0,0,0,0,0
6860,100000,1,1,2,32,0,0,0,0,0,0
6861,180000,1,2,1,42,0,0,0,0,0,0
6862,210000,2,1,2,31,2,2,2,2,0,0
6863,180000,2,2,1,36,0,0,0,0,0,0
6864,60000,2,3,3,48,0,0,2,2,-1,0
6865,500000,1,1,2,30,0,0,0,0,0,0
6866,200000,2,2,1,37,0,0,0,0,0,0
6867,610000,2,2,1,39,0,0,0,0,0,0
6868,50000,1,2,2,29,0,0,0,0,0,0
6869,80000,2,6,2,25,0,0,0,-2,-1,0
6870,210000,1,1,2,38,0,0,0,0,0,0
6871,50000,1,1,2,56,1,2,0,0,0,0
6872,360000,1,1,1,58,-1,-1,-1,-1,-1,-1
6873,240000,1,2,2,30,-2,-2,-1,-1,-1,-1
6874,20000,1,3,1,56,0,0,0,0,2,0
6875,10000,1,1,2,22,0,0,-1,-1,-1,-1
6876,30000,2,2,2,23,2,0,0,0,0,0
6877,360000,1,0,2,30,0,0,-1,0,0,-1
6878,260000,1,1,2,29,0,0,0,0,0,0
